A CHRISTMAS CAROL	クリスマス・カロル
If the good Saint Dunstan had but nipped the Evil Spirit's nose with a touch of such weather as that, instead of using his familiar weapons, then indeed he would have roared to lusty purpose.	聖ダンスタンがいつもの武器を使う代りに、こんなお天気で一と撫でして、悪魔の鼻をちょいと痺れさせてやったら、その時こそ実際悪魔は大声挙げて咆吼したことでもあろう。
The owner of one scant young nose, gnawed and mumbled by the hungry cold as bones are gnawed by dogs, stooped down at Scrooge's keyhole to regale him with a Christmas carol:	骨が犬に咬まれるように、飢えた寒さに咬みつかれ、もぐもぐ噛じられた、一つの尖った若い鼻の持ち主がスクルージの鍵の穴から覗き込んで、聖降誕祭の頌歌を彼に振舞おうとした。
but at the first sound of	が、神は貴方がたを祝福したまわん、愉快そうな紳士方よ、
`God bless you, merry gentlemen!	貴方がたを狼狽せしむる者は一としてなからん！
May nothing you dismay!'	と初めの文句を歌い出した刹那に、
Scrooge seized the ruler with such energy of action,	スクルージは非常に猛烈な勢いで簿記棒を引掴んだ。
that the singer fled in terror, leaving the keyhole to the fog and even more congenial frost.	それがために歌唄いは仰天して、その鍵の穴を霧と、それよりももっと主人と性の合った霜とに任せて置いたまま遁げ出した。
At length the hour of shutting up the counting-house arrived.	とうとう事務所の閉じる時刻がやって来た。
With an ill-will Scrooge dismounted from his stool, and tacitly admitted the fact to the expectant clerk in the Tank,	厭々ながらスクルージはその腰掛から降りて、大桶の中に待ち構えていた書記に、黙ってその事実の承認を与えた。
who instantly snuffed his candle out, and put on his hat.	書記は早速蝋燭を消して帽子を被った。
`You'll want all day to-morrow, I suppose?'	「明日は丸一日欲しいんだろうね？」
said Scrooge.	とスクルージは云った。
`If quite convenient, sir.'	「ご都合が宜しければ、貴方。」
`It's not convenient,'	「都合は宜しくないさ」
said Scrooge,	と、スクルージは云った。
`and it's not fair.	「また公平な事でもないさ。
If I was to stop you half-a-crown for it, you'd think yourself ill-used, I'll be bound?'	で、そのために半クラウンを差引こうと云い出したら、君は酷い目に遭ったと思うだろう、きっとそうだろうな！」
The clerk smiled faintly.	書記は微かに笑った。
`And yet,'	「しかもだ」
said Scrooge,	と、スクルージは云った、
`you don't think me ill-used, when I pay a day's wages for no work.'	「君の方じゃ仕事もしないのに一日の給料を払わせられる俺を酷い目に遭わせたとは考えないのだ。」
The clerk observed that it was only once a year.	書記は一年にたった一度のことだと云った。
`A poor excuse for picking a man's pocket every twenty-fifth of December!'	「毎年十二月二十五日に人の懐中物を掏（す）り取るにしちゃ、まずい言い訳だ」
said Scrooge, buttoning his great-coat to the chin.	と、スクルージは大きな外套の顎までボタンを掛けながら云った。
`But I suppose you must have the whole day.	「だが、どうしたって丸一日休まずには置かないのだろう。
Be here all the earlier next morning.'	明くる朝はその代りに一層早く出て来なさいよ。」
The clerk promised that he would;	書記はそうしましょうと云うことを約束した。
and Scrooge walked out with a growl.	スクルージはぶつぶつ云いながら出て行った。
The office was closed in a twinkling,	事務所は瞬く間に閉じられてしまった。
and the clerk, with the long ends of his white comforter dangling below his waist (for he boasted no great-coat), went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve,	そして、書記は白い襟巻の長い両端を腰の下でぶらぶらさせながら、（と云うのは彼は外套を持っていなかったからで。）聖降誕祭前夜のお祝いに、子供達の列の端に附いて、コーンヒルの大通りの氷った辷り易い道の上を幾度となく往復した。
and then ran home to Camden Town as hard as he could pelt, to play at blindman's-buff.	それから目隠し遊びをしようと思って、全速力でカムデン・タウンの自宅へ駆け出して行った。
Scrooge took his melancholy dinner in his usual melancholy tavern;	スクルージは行きつけの陰気な居酒屋で、陰気な食事を済ました。
and having read all the newspapers, and beguiled the rest of the evening with his banker's-book, went home to bed.	そこにあった新聞をすっかり読んでしまって、あとは退屈凌ぎに銀行の通帳をいじくっていたが、やがて寝に帰った。
He lived in chambers which had once belonged to his deceased partner.	彼はかつて死んだ仲間の所有であった部屋に住っていた。
They were a gloomy suite of rooms, in a lowering pile of a building up a yard,	それは中庭の突き当りの陰気な一構えの建物の中にある薄暗い一組の室であった。
where it had so little business to be, that one could scarcely help fancying it must have run there when it was a young house, playing at hide-and-seek with other houses, and forgotten the way out again.	この建物は、少年の頃に他の家々と一緒に隠れん坊の遊びをしながら、そこへ走り込んだまま、元の出口を忘れてしまったものに違いないと想像せずにはいられなかったほど、ここにある必要のないものであった。
