BOTCHAN (MASTER DARLING)	坊っちゃん
Once I went to Kamakura on a picnic with my classmates while I was in the grammar school, and that was the first and last, so far, that I stepped outside of Tokyo since I could remember.	生れてから東京以外に踏み出したのは、同級生と一所に鎌倉（かまくら）へ遠足した時ばかりである。
This time I must go darn far away, that it beats Kamakura by a mile.	今度は鎌倉どころではない。
The prospective town is situated on the coast, and looked the size of a needle-point on the map.	地図で見ると海浜で針の先ほど小さく見える。
It would not be much to look at anyway.	どうせ碌な所ではあるまい。
I knew nothing about the place or the people there.	どんな町で、どんな人が住んでるか分らん。
It did not worry me	分らんでも困らない。
or cause any anxiety.	心配にはならぬ。
I had simply to travel there	ただ行くばかりである。
and that was the annoying part.	もっとも少々面倒臭い。
Once in a while, since our house was no more, I went to Kiyo's nephew's to see her.	家を畳（たた）んでからも清の所へは折々行った。
Her nephew was unusually good-natured,	清の甥というのは存外結構な人である。
and whenever I called upon her, he treated me well if he happened to be at home.	おれが行（ゆ）くたびに、居（お）りさえすれば、何くれと款待（もて）なしてくれた。
Kiyo would boost me sky-high to her nephew right to my face.	清はおれを前へ置いて、いろいろおれの自慢（じまん）を甥に聞かせた。
She went so far once as to say that when I had graduated from school, I would purchase a house somewhere in Kojimachi-ku and get a position in a government office.	今に学校を卒業すると麹町辺へ屋敷を買って役所へ通うのだなどと吹聴（ふいちょう）した事もある。
She decided everything in her own way, and talked of it aloud, and I was made an unwilling and bashful listener.	独りで極（き）めて一人（ひとり）で喋舌（しゃべ）るから、こっちは困（こ）まって顔を赤くした。
I do not know how her nephew weighed her tales of self-indulgence on me.	それも一度や二度ではない。
Kiyo was a woman of the old type, and seemed, as if it was still the days of Feudal Lords,	ただ清は昔風（むかしふう）の女だから、自分とおれの関係を封建（ほうけん）時代の主従（しゅじゅう）のように考えていた。
to regard her nephew equally under obligation to me even as she was herself.	自分の主人なら甥のためにも主人に相違ないと合点（がてん）したものらしい。
After settling about my new position, I called upon her three days previous to my departure.	いよいよ約束が極まって、もう立つと云う三日前に清を尋（たず）ねたら、
She was sick abed in a small room,	北向きの三畳に風邪（かぜ）を引いて寝ていた。
but, on seeing me she got up and immediately inquired; "Master Darling, when do you begin housekeeping?"	おれの来たのを見て起き直るが早いか、坊（ぼ）っちゃんいつ家（うち）をお持ちなさいますと聞いた。
She evidently thought as soon as a fellow finishes school, money comes to his pocket by itself.	卒業さえすれば金が自然とポッケットの中に湧いて来ると思っている。
But then how absurd to call such a "great man" "Darling."	そんなにえらい人をつらまえて、まだ坊っちゃんと呼ぶのはいよいよ馬鹿気ている。
I told her simply that I should let the house proposition go for some time,	おれは単簡に当分うちは持たない。
as I had to go to the country.	田舎へ行くんだと云ったら、
She looked greatly disappointed, and blankly smoothed her gray-haired sidelocks.	非常に失望した容子（ようす）で、胡麻塩（ごましお）の鬢（びん）の乱れをしきりに撫（な）でた。
