Cracking DES	DESをクラック
then when the ExtraXOR bit's status causes the L=L XOR R step, L will become equal to 0.	このとき、 ExtraXOR ビットのステータスのために L=L XOR R となったら、Lは0になる。
The plaintext byte mask selects only the left half and the PlaintextVector makes sure the 4 bytes are 0.	平文マスクは左半分だけを選び、 PlaintextVector で、それが0かどうか確認できる。
False positives occur whenever L=R,	もっともらしいケースは、L=Rのときに起こる。
or with one key in 232.	これは232に一つの鍵で起こるわけだ。
Because this search is not guaranteed to terminate after 256 operations, the average time is 256 (not 255).	この探索は256通りためして終わるという保証はないので、平均時間は256になる (255ではない)。
The number of false positives is expected to be 256 / 232 = 224 = 16.8 million.	もっともらしいケースの数は 256 / 232 = 224 = 1.68 億通りとなる。
Each search unit will thus find a false positive every 232 keys on average,	したがって各探索ユニットは、平均で 232 鍵ごとにもっともらしいものにあたる。
or about once every half hour.	つまりは30分に一回ずつくらい、ということだ。
At 1 second polling of search units, (0.5)(16.8 million)/3600 = 2333 search unit hours will be idle	各探索ユニットを1秒に1回調べるとすると、アイドリング状態になるのは (0.5)(16.8 million)/3600 = 2333 探索ユニット時間
(still under 1% of the total).	（これでも全体の1％以下）。
The host computer will need to do the 16.8 million DES operations (on average), but even a fairly poor DES implementation can do this in just a few minutes.	ホストコンピュータは、1.68億通り（平均）のDES操作をやらなくてはならいが、かなり下手なDES実装でも、数分あればこれは可能だ。
Scalability and Performance	スケーラビリティと性能
The architecture was intended to find DES keys in less than 10 days on average.	このアーキテクチャは、DES鍵を平均で10日以下で見つけるように意図されている。
The performance of the initial implementation is specified in Figure 2-4.	Figure 2-4に最初の実装の性能を示す。
Faster results can be easily obtained with increased hardware;	ハードをふやせば、もっと高速な結果は簡単に得られる。
doubling the amount of hardware will halve the time per result.	ハードの量を増やせば結果を出すのに必要な時間は半分になる。
Within the design, boards of keysearch ASICs can be added and removed easily, making it simple to make smaller or larger systems,	キー探索ASICの基板は簡単に足したり減らしたりできるような設計になっていて、システムを大規模にも小規模にもできる。
where larger systems cost more but find results more quickly.	大規模システムはコストはかかるが、結果はもっとはやくわかる。
Larger systems will have additional power and cooling requirements.	またシステムが大きくなると、電源と冷却も強力なものが必要となる。
Figure 2-4: Performance Estimate	Figure 2-4: 推定性能
Total ASICs1536	ASIC総数1536
Search units per ASIC24	ASICあたりの探索ユニット24
Total search units36864	探索ユニット総数36864
Clock speed (Hz)4.00E+07	クロック速度 (Hz)4.00E+07
Clocks per key (typical)16	キーあたり必要クロック（平均）16
DES keys per search unit per second2.50E+06	探索ユニットあたり毎秒処理DES鍵数2.50E+06
Total DES keys per second9.22E+10	システム全体での毎秒処理DES鍵9.22E+10
Search size (worst case)7.21E+16	探索サイズ（最悪ケース）7.21E+16
Seconds per result (worst case)7.82E+05	結果が出るまでの必要秒数（最悪ケース）7.82E+05
Days per result (worst case)9.05	結果が出るまでの必要日数（最悪ケース）9.05
Search size (average case)3.60E+16	探索サイズ（平均）3.60E+16
Seconds per result (average case)3.91E+05	結果が出るまでの必要秒数（平均）3.91E+05
Days per result (average case) 4.52	結果が出るまでの必要日数（平均）4.52
Host Computer Software	ホストコンピュータのソフト
Cryptography Research will write the following software:	Cryptography Research が以下のソフトを書く予定。
Simulation	シミュレーション
Cryptography Research will develop software to generate test vectors for the chip for testing before the design is sent to the fab.	Cryptography Research は、チップデザインがファブリケーションに送られる前にチップをテストするための、テストベクトル生成ソフトを書く。
This software will test all features on the chip and all modes of operation.	このソフトはチップ上のあらゆる機能をテストし、あらゆるオペレーションのモードをチェックする。
This program will have a simple command line interface.	このプログラムは、簡単なコマンドライン・インターフェースを持つ。
Host computer	ホストコンピュータ
The host computer software program will implement the standard search tasks of breaking a known plaintext, breaking encrypted ASCII text (ECB and CBC modes), and solving the Matt Blaze challenge.	ホストコンピュータ用のソフトウェアは、平文がわかっている場合の鍵派遣、暗号化されたASCII文の解読（ECBとCBCモード）、Matt Blaze式チャレンジ解決をする通常の探索タスクを実装する。
These programs will be written in standard ANSI C, except for platform-specific I/O code.	このソフトはプラットホーム固有の I/O コードをのぞけば、ふつうの ANSI C でかかれる。
The host program will also have a test mode,	ホストプログラムにはまたテストモードも持つ。
which loads search units with tasks that are known to halt reasonably quickly (e.g., after searching a few million keys) and verifies the results to detect any failed parts.	これは探索ユニットに、すぐ止まるのがわかっているようなタスク（たとえばほんの数百万鍵を探せばすむようなタスク）をロードしてみて、出てきた結果を確認してどこか異常はないかを検出する。
(The software will include the capability of bypassing bad search units during search operations.)	（ソフトには、探索の途中で不良探索ユニットをバイパスする機能がついている）。
Users who wish to perform unusual searches will need to add a custom function to determining whether candidate keys are actually correct and recompile the code.	通常以外の探索をしたいユーザは、カスタム関数を付け加えて、候補として出てきたキーが本当に正しいかがチェックできるようにしたうえで、コードをコンパイルしなおすこと。
The initial version of this program will have a simple command line interface and will be written for DOS.	このプログラムの最初のバージョンは、単純なコマンドライン式のインターフェースを持ち、DOS用に書かれる。
