STORY OF THE DOOR	ドアにまつわる話
Six o 'clock struck on the bells of the church that was so conveniently near to Mr. Utterson's dwelling, and still he was digging at the problem.	都合がよいことに、アターソン氏の住居のほど近くの教会の鐘が６時をうったが、アターソン氏はまだその問題をあれこれ考えていた。
Hitherto it had touched him on the intellectual side alone;	これまでは合理的な方面だけから検討してきたのだが、
but now his imagination also was engaged, or rather enslaved;	今や想像力までが借り出されていた、というより想像力にとりつかれたようになっていたのだ。
and as he lay and tossed in the gross darkness of the night and the curtained room, Mr. Enfield's tale went by before his mind in a scroll of lighted pictures.	全くの夜の闇の、カーテンを引いた部屋の中で横になり寝返りをうっていたが、エンフィールド氏の話が心の中で目の前を映画のように流れていった。
He would be aware of the great field of lamps of a nocturnal city;	夜の街にたくさんの街灯が並んでいるのが見え、
then of the figure of a man walking swiftly;	一人の男が急ぎ足で歩いている。
then of a child running from the doctor's;	そして子供が医者の家から走ってきた。
and then these met, and that human Juggernaut trod the child down and passed on regardless of her screams.	２人はぶつかり、人間の姿をしたクリシュナが子供を踏みつけて、悲鳴もかまわず通り過ぎていく。
Or else he would see a room in a rich house,	または、裕福な家の一室が見えた。
where his friend lay asleep,	友達がぐっすり寝ている。
dreaming and smiling at his dreams;	夢をみながらその夢に微笑んでいる。
and then the door of that room would be opened,	そのとき部屋のドアが開けられる。
the curtains of the bed plucked apart, the sleeper recalled,	ベッドのカーテンがさっとひっぱられて、眠っているものも起こされる。
and lo!	そして、見よ！
there would stand by his side a figure to whom power was given,	寝ているものの側に力をもった一人の男が立っている。
and even at that dead hour, he must rise and do its bidding.	そして友達はこんな真夜中にでも、起きて命令に従わなければならない。
The figure in these two phases haunted the lawyer all night;	この２つの場面の男の姿は一晩中、弁護士を悩ませた。
and if at any time he dozed over, it was but to see it glide more stealthily through sleeping houses,	そしてうとうとしようものなら、その男の姿が寝静まる家から家へとこっそり忍んでいくのだった。
or move the more swiftly and still the more swiftly, even to dizziness, through wider labyrinths of lamplighted city, and at every street-corner crush a child and leave her screaming.	そしていよいよ早く、いやさらに早く、目にもとまらないほどの速さで、街灯が照らし出す広い迷路の中を走っていき、街角という街角で、子供とぶつかっては、悲鳴をあげるのもかまわず、その場を去るのだった。
