Homesteading the Noosphere	ノウアスフィアの開墾
More about humility, (`egoless behavior') from Jerry Fass and Marsh Ray.	謙虚さ（「エゴのない行動」）について加筆、Jerry Fass と Marsh Ray からのコメントに基づく。
Revision 1.1011 July 1998esr	[1998年7月11日] バージョン 1.10。
Remove Fare Rideau's reference to `fame' at his suggestion.	本人の示唆に基づき、Fare Rideau のコメントから名声ということばを除く。
Revision 1.1421 November 1998esr	[1998年11月21日] バージョン 1.14。
Minor editorial and stale-link fixes.	ちょっとした編集上の修正と古いリンクの訂正。
Revision 1.2131 Aug 1999esr	[1999年8月8日]
Major revision for the O'Reilly book.	O'Reilly の本用に大幅改訂。
Incorporated some ideas about the costs of forking and rogue patches from Michael Chastain.	Michael Chastain からもらった、プロジェクト分裂のコストと非公式パッチのコストについてのアイデアを組み込む。
Thomas Gagne (tgagne@ix.netcom.com) noticed the similarity between "seniority wins" and database heuristics.	Thomas Gagne <tgagne@ix.netcom.com> は、「年功が勝つ」というのとデータベースのヒューリスティクスの類似性に気がついた。
Henry Spencer's political analogy.	Henry Spencer の政治とのアナロジー。
Ryan Waldron and El Howard (elhoward@hotmail.com) contributed thoughts on the value of novelty.	Ryan Waldron と El Howard <elhoward@hotmail.com> は、目新しさの価値について考えを出してくれた。
Thomas Bryan (tbryan@arlut.utexas.edu) explained the hacker revulsion to ``embrace and extend''.	Thomas Bryan <tbryan@arlut.utexas.edu> は「抱き込んで拡張」に対するハッカーの嫌悪を説明してくれた。
Darcy Horrocks inspired the new section ``How Fine A Gift?''	Darcy Horrocks は新しい章の「どれほどすばらしい贈り物？」の示唆を与えてくれた。
