Alice's Adventures in Wonderland	不思議の国のアリス
As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit's little white kid gloves while she was talking.	こう言いながら手を見おろしてみると、おどろいたことにうさぎの小さな子ヤギ皮の手ぶくろが、手にはまってしまっていました。
`How CAN I have done that?'	「どうしてこんなことができちゃったんだろう？」
she thought.	とアリスは思いました。
`I must be growing small again.'	「あたし、また小さくなってるんだ」
She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly:	立ち上がってテーブルのところへいって、それと比べてせたけをはかってみると、まあだいたいの見当ですが、いまや身長60センチくらいで、しかもぐんぐんちぢみつづけています。
she soon found out that the cause of this was the fan she was holding, and she dropped it hastily,	やがてその原因が、手にもったせんすなのに気がついて、あわててそれを落としました。
just in time to avoid shrinking away altogether.	あぶないところで、ちぢみきって消えてしまわずにすんだのです。
`That WAS a narrow escape!'	「いまのはまさにきき一発だったわ」
said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence;	アリスは、いきなり変わったせいでとてもおびえてはいましたが、まだ自分がそんざいしているのを見て、とてもうれしく思いました。
`and now for the garden!'	「さあ、そしたらお庭ね！」
and she ran with all speed back to the little door:	と、あの小さなとびらをめざしてぜんそくりょくでかけもどりました。
but, alas!	が、ざんねん！
the little door was shut again, and the little golden key was lying on the glass table as before,	小さなとびらはまたしまっていて、小さな金色の鍵は、さっきとかわらずガラスのテーブルのうえで、
`and things are worse than ever,'	「しかもさっきよりもひどいことになってるじゃないの」
thought the poor child,	とあわれな子は考えました。
`for I never was so small as this before, never!	「だってこんなに小さくなったのははじめてよ、ぜったい！
And I declare it's too bad, that it is!'	まったくざんねんしごくと断言しちゃうわ！」
As she said these words her foot slipped, and in another moment, splash!	そしてこのせりふを口にしたとたんに足がすべって、つぎのしゅんかんには、ボチャン！
she was up to her chin in salt water.	あごまで塩水につかっていたのです。
Her first idea was that she had somehow fallen into the sea,	最初に思ったのは、どういうわけか海に落ちたんだろう、ということでした。
`and in that case I can go back by railway,'	「そしてもしそうなら、列車で帰れるわね」
she said to herself.	と思いました。
(Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.)	（アリスは生まれてから一回だけ海辺にいったことがあって、そこからひきだした結論として、イギリスの海岸ならどこへいっても海には海水浴装置（かいすいよくそうち）があり、子どもが木のシャベルで砂をほっていて、海の家がならんでいて、そのうしろには列車の駅があるもんだと思っていたんだな）。
