Aesop's Fables	タウンゼント版イソップ寓話集
The Goat readily assented and the Fox leaped upon his back.	こうして、キツネは、ヤギの背中を跳躍し、井戸から抜け出した。
Steadying himself with the Goat's horns, he safely reached the mouth of the well and made off as fast as he could.	しかしキツネは、そのまま井戸を後にした。
When the Goat upbraided him for breaking his promise,	ヤギが、それでは約束が違うと叫んだ。
he turned around and cried out,	するとキツネは振り向いてこう言った。
"You foolish old fellow!	「ヤギさん、あんたは老いぼれて、もうろくしたようだね。
If you had as many brains in your head as you have hairs in your beard, you would never have gone down before you had inspected the way up, nor have exposed yourself to dangers from which you had no means of escape."	もしあんたの頭に、その、あごひげ程の脳味噌が詰まっていたなら・・・抜け出せるかどうかも確かめずに、降りては行かなかっただろうがね・・・」
Look before you leap.	転ばぬ先の杖
The Bear and the Two Travelers	３３．クマと二人の旅人
TWO MEN were traveling together,	二人の男が一緒に旅をしていた。
when a Bear suddenly met them on their path.	と、二人は、ばったりとクマに出くわした。
One of them climbed up quickly into a tree and concealed himself in the branches.	一人は、すぐさま、木に登り、葉陰に身を隠した。
The other, seeing that he must be attacked, fell flat on the ground,	もう一人は、クマにやられてしまうと思い、地面に横たわった。
and when the Bear came up and felt him with his snout, and smelt him all over,	すると、クマがやってきて、鼻先で探りを入れながら、全身をくまなく嗅ぎ回った。
he held his breath, and feigned the appearance of death as much as he could.	彼は、息を止め、死んだ振りをした。
The Bear soon left him, for it is said he will not touch a dead body.	クマは死体には触れないと言われているのだが、その通り、クマはすぐに彼から離れて行った。
When he was quite gone, the other Traveler descended from the tree,	クマが見えなくなると、木に登っていた男も降りてきて、
and jocularly inquired of his friend what it was the Bear had whispered in his ear.	「さっき、クマは、なんて囁いたの？」
"He gave me this advice,"	すると相方はこんな風に答えた。
his companion replied.	「クマはね、僕にこんな忠告をしてくれたよ。
"Never travel with a friend who deserts you at the approach of danger."	……危険が迫った時に、知らんぷりするような奴とは、一緒に旅をするな！」
Misfortune tests the sincerity of friends.	災難は、友の誠実さを試す。
The Oxen and the Axle-Trees	３４．牡ウシと車軸
A HEAVY WAGON was being dragged along a country lane by a team of Oxen.	重い荷物を積んだ、数頭立ての牛車が、田舎道を走っていた。
The Axle-trees groaned and creaked terribly;	すると、車軸がもの凄い音を立てて、ギジギシときしんだ。
whereupon the Oxen, turning round, thus addressed the wheels:	ウシたちは振り向くと、車輪に言った。
"Hullo there!	「なぜ、
why do you make so much noise?	あんたらは、そんなに大きな音を立てるんだね、
We bear all the labor, and we, not you, ought to cry out."	引っ張っているのは、我々だ、泣きたいのは、こっちの方だよ」
Those who suffer most cry out the least.	怠け者は無駄口ばかり叩くが、働き者にはそんな暇はない。
The Thirsty Pigeon	３５．喉の渇いたハト
A PIGEON, oppressed by excessive thirst, saw a goblet of water	喉の渇いたハトが、水差しを見つけた。
painted on a signboard.	実はそれは、看板の絵であったのだが
Not supposing it to be only a picture, she flew towards it with a loud whir and unwittingly dashed against the signboard, jarring herself terribly.	……ハトはそれに気付かずに、ばたばたと飛んで行くと、もの凄い音を立てて、激突した。
Having broken her wings by the blow, she fell to the ground, and was caught by one of the bystanders.	その衝撃で、両の羽とも、砕け、ハトは地面へと落っこちて、見ていた人に捕まった。
Zeal should not outrun discretion.	熱中し過ぎて分別を無くしてはならない。
The Raven and the Swan	３６．カラスとハクチョウ
A RAVEN saw a Swan and desired to secure for himself the same beautiful plumage.	カラスは、ハクチョウの姿を見て、自分もあんな風に美しくなってみたいと思った。
Supposing that the Swan's splendid white color arose from his washing in the water in which he swam, the Raven left the altars in the neighborhood where he picked up his living, and took up residence in the lakes and pools.	カラスは、ハクチョウの羽が白いのは、いつも泳いでいるからだと思い、自分も湖に居を構えようと、餌場としている近くの祭壇を後にした。
But cleansing his feathers as often as he would, he could not change their color,	しかし、いくら洗っても、羽は白くならなかった。
while through want of food he perished.	それどころか、餌が不足して、彼はとうとう死んでしまった。
Change of habit cannot alter Nature.	習慣を変えても、本質は変わらない。
The Goat and the Goatherd	３７．ヤギとヤギ飼
A GOATHERD had sought to bring back a stray goat to his flock.	ヤギ飼は、群からはぐれたヤギを連れ戻そうとやっきになっていた。
