The Wizard of Oz	オズの魔法使い
The three Munchkins bowed low to her and wished her a pleasant journey, after which they walked away through the trees.	三人のマンチキンはドロシーに深くおじぎをして、よい旅になりますようにとあいさつしたあと、木々の間をぬけて歩いていってしまいました。
The Witch gave Dorothy a friendly little nod, whirled around on her left heel three times, and straightway disappeared,	魔女はドロシーに優しげに小さくうなずき、左足のかかとを立てて、三回ぐるぐるっと回ると、あっという間に姿を消してしまいました。
much to the surprise of little Toto, who barked after her loudly enough when she had gone,	これにはトトがびっくりして、魔女が消えたあとに向かってうるさく吠えました。
because he had been afraid even to growl while she stood by.	というのも、魔女がいたときは恐くて吠える事さえできなかったのです。
But Dorothy, knowing her to be a witch, had expected her to disappear in just that way, and was not surprised in the least.	でもドロシーはお婆さんが魔女だと知っていましたし、魔女はそういうふうに消えるものだと思っていたので、ちっともおどろきませんでした。
3.  How Dorothy Saved the Scarecrow	3　ドロシー、かかしを救う
When Dorothy was left alone she began to feel hungry.	ひとりきりで取り残されると、ドロシーはおなかがすいてきました。
So she went to the cupboard and cut herself some bread, which she spread with butter.	そこで食器棚のところへいって、パンを何枚か切り、バターを塗りました。
She gave some to Toto, and taking a pail from the shelf she carried it down to the little brook and filled it with clear, sparkling water.	それを少しトトにもあげると、棚からバケツをとって、小さな小川におりると輝くきれいな水で満たしました。
Toto ran over to the trees and began to bark at the birds sitting there.	トトは木々のほうに駆けだして、そこにとまった鳥たちに吠えだしました。
Dorothy went to get him, and saw such delicious fruit hanging from the branches that she gathered some of it,	ドロシーはトトをつかまえにいきましたが、木の枝から実においしそうな果物がぶら下がっていたのでいくつか取りました。
finding it just what she wanted to help out her breakfast.	ちょうど朝ご飯の材料に好都合だったからです。
Then she went back to the house, and having helped herself and Toto to a good drink of the cool, clear water, she set about making ready for the journey to the City of Emeralds.	それから家に戻り、トトといっしょに冷たいきれいな水をのんでから、エメラルドの都に向けて旅のしたくを整えはじめました。
Dorothy had only one other dress, but that happened to be clean and was hanging on a peg beside her bed.	ドロシーは他に一着しか服をもっていませんでしたが、それがちょうど洗濯したてで、ベッドの横の釘にかかっていました。
It was gingham, with checks of white and blue; and although the blue was somewhat faded with many washings, it was still a pretty frock.	青と白のチェック模様のギンガムで、青は洗濯を重ねるうちにちょっとあせていましたが、それでもきれいなワンピースです。
The girl washed herself carefully, dressed herself in the clean gingham, and tied her pink sunbonnet on her head.	ドロシーは念入りに顔を洗うと、きれいなギンガムを着て、ピンクの日よけボンネットをかぶってひもをゆわえました。
She took a little basket and filled it with bread from the cupboard, laying a white cloth over the top.	小さなバスケットを取ると、食器棚のパンを詰め、そのてっぺんに白い布をかぶせます。
Then she looked down at her feet and noticed how old and worn her shoes were.	それから足下を見て、自分のくつがとても古くてボロボロなのに気がつきました。
"They surely will never do for a long journey, Toto,"	「どう考えても長旅ではもたないわねえ、トト」
she said.	とドロシーは言いました。
And Toto looked up into her face with his little black eyes and wagged his tail to show he knew what she meant.	トトもその小さな黒い目でドロシーの顔を見上げ、尻尾をふっておっしゃるとおりですという意味を伝えました。
At that moment Dorothy saw lying on the table the silver shoes that had belonged to the Witch of the East.	そのときテーブルの上に、東の魔女のものだった銀のくつが置いてあるのが目に入りました。
"I wonder if they will fit me,"	「あたしにあうかしら」
she said to Toto.	とドロシーはトトに言いました。
"They would be just the thing to take a long walk in, for they could not wear out."	「長いこと歩くにはちょうどいいもの、だってすり減ったりしないから」
She took off her old leather shoes and tried on the silver ones, which fitted her as well as if they had been made for her.	そこで古い革靴をぬいで銀のくつをはいてみると、あつらえたようにぴったりです。
