TALES OF TROY: ULYSSES THE SACKER OF CITIES	トロイア物語：都市の略奪者ユリシーズ
for Helen was not only the fairest woman that ever lived in the world, but she was so kind and gracious and charming that no man could see her without loving her.	なぜならば、ヘレネーは絶世の美女というだけでなく、やさしく優美で魅力的であったので、彼女に会って恋に落ちない男はいなかったのだから。
When she was only a child, the famous prince Theseus, who was famous in Greek Story, carried her away to his own city of Athens, meaning to marry her when she grew up,	ヘレネーがほんの子供の頃、ギリシアの物語では有名な、名高いテーセウス王子が、成長したら結婚するつもりで、彼女を自分の都アテーナイへと連れ去ったことがあった。
and even at that time, there was a war for her sake,	その時ですら、彼女が原因で戦が起こった。
for her brothers followed Theseus with an army, and fought him, and brought her home.	というのは、ヘレネーの兄たちが軍勢を率いてテーセウスを追いかけて戦い、そうして家に連れ戻したのだから。
She had fairy gifts;	ヘレネーは妖精の贈物を持っていた。
for instance, she had a great red jewel, called "the Star,"	たとえば「星」とよばれる大きな赤い宝石があった。
and when she wore it red drops seemed to fall from it and vanished before they touched and stained her white breast--so white that people called her "the Daughter of the Swan."	ヘレネーがその宝石をつけていると、赤い雫がしたたり落ちるようにみえたが、その白い胸、「白鳥の娘」とよばれるほどに白いその胸に、ふれて染みをつくる前に消えさってしまうのだった。
She could speak in the very voice of any man or woman, so folk also named her Echo,	ヘレネーは男でも女でも相手の声とまったく同じ声で話すことができたので、エコーともよばれた。
and it was believed that she could neither grow old nor die, but would at last pass away to the Elysian plain and the world's end, where life is easiest for men.	また、年老いて死ぬなどということはなくて、最後にはエリュシオンの野、つまりこの世の果てへと去って行くと信じられていた。
No snow comes thither, nor great storm, nor any rain;	そこは人がもっとも住みよい場所で、雪も降らず大嵐も来ず雨も降らないが、
but always the river of Ocean that rings round the whole earth sends forth the west wind to blow cool on the people of King Rhadamanthus of the fair hair.	大地を輪のように囲んでいるオーケアノスの河が西風を送り、美しい髪のラダマンテュス王の民に涼しく吹いてくるのだ。
These were some of the stories that men told of fair Helen,	ヘレネーについてはこうした物語が語られている。
but Ulysses was never sorry that he had not the fortune to marry her,	ユリシーズは彼女と結婚する運がなかったことを残念とも思わなかった。
so fond he was of her cousin, his wife, Penelope,	それほどにヘレネーのいとこで妻であるペーネロペーを好いていた。
who was very wise and good.	ペーネロペーはとても賢くすばらしかったのだ。
When Ulysses brought his wife home they lived, as the custom was, in the palace of his father, King Laertes,	ユリシーズは妻を連れ帰ると、習慣にしたがって、父ラーエルテース王の宮殿に住んだ。
but Ulysses, with his own hands, built a chamber for Penelope and himself.	だがユリシーズは自分たちの部屋を手ずから作ったのだ。
There grew a great olive tree in the inner court of the palace, and its stem was as large as one of the tall carved pillars of the hall.	宮殿の中庭には大きなオリーブの木が生えていて、その幹は広間の彫刻のある高い柱と同じほどに太かった。
Round about this tree Ulysses built the chamber, and finished it with close-set stones, and roofed it over, and made close-fastening doors.	この木のまわりに部屋を作り、目の詰んだ石で仕上げ、そのうえに屋根をふき、きちんと閉まる扉をつけた。
Then he cut off all the branches of the olive tree, and smoothed the trunk, and shaped it into the bed-post, and made the bedstead beautiful with inlaid work of gold and silver and ivory.	それからオリーブの木の枝をすべて切り落とし、幹をすべらかにすると、寝台の支柱のかたちに仕上げ、寝台の枠を金、銀、象牙で象眼して美しく飾った。
