TO THE HESITATING PURCHASER	読もうかどうか迷っている人へ
"this'll be as good as drink to my mate Bill."	「これは俺の友達のビルにとっては、飲むのと同じくらいうれしいことになるだろうよ」
The expression of his face as he said these words was not at all pleasant,	そういったときのその男の表情は、まったく不愉快なしろものだった。
and I had my own reasons for thinking that the stranger was mistaken, even supposing he meant what he said.	そして僕はたとえ本気でそう言ってるとしても、この見知らぬ男は間違ってると思った。
But it was no affair of mine, I thought;	でも僕には関係ないことだと思っていたし、
and besides, it was difficult to know what to do.	その上そもそも何をすればいいか全然わからなかった。
The stranger kept hanging about just inside the inn door, peering round the corner like a cat waiting for a mouse.	この見知らぬ男は、宿のドアを入ったすぐのところでうろうろしており、猫がねずみを待ちかまえているかのように、角を曲がった所をのぞきこんでいた。
Once I stepped out myself into the road, but he immediately called me back,	僕が道まで出て行くと、その男はすぐに僕を呼び戻した。
and as I did not obey quick enough for his fancy, a most horrible change came over his tallowy face, and he ordered me in with an oath that made me jump.	そして僕がすぐにそれに従わなかったのが、その男には気に入らなかったらしく、急に蝋のような顔色が変わり、僕を飛び上がらせるほどの悪態をついて命令した。
As soon as I was back again he returned to his former manner, half fawning, half sneering, patted me on the shoulder, told me I was a good boy and he had taken quite a fancy to me.	僕がもどるとすぐにその男の態度は元のとおりになり、半分こびへつらい、半分あざ笑うかのように
"I have a son of my own," said he, "as like you as two blocks,	「俺にも子供がいる、おまえと同じような子供がな。
and he's all the pride of my 'art.	俺の自慢の種だよ。
But the great thing for boys is discipline,	だが子供に本当に大事なのは、しつけなんだ。
sonny--discipline.	いいかい、ぼうや、しつけだ。
Now, if you had sailed along of Bill, you wouldn't have stood there to be spoke to twice--not you.	そうだな、もしビルと船にのって、２回命令されるようなことがあれば、おまえはそこに立ってられないぞ。
That was never Bill's way, nor the way of sich as sailed with him.	これはビルだけじゃない、やつと一緒に船に乗ってきたような仲間はみんなそうなんだ。
And here, sure enough, is my mate Bill,	さあ、いいぞ、俺の友達のビルじゃねえか。
with a spy-glass under his arm, bless his old 'art, to be sure.	小さい望遠鏡を抱えてる、いいやつだぜ、たしかにやつだ。
You and me'll just go back into the parlour, sonny, and get behind the door, and we'll give Bill a little surprise--bless his 'art, I say again.	おまえと俺はラウンジまで戻るんだ、ぼうや、ドアの後ろに陣取って、少しばっかり驚かしてやろうじゃないか、いいやつだぜ、まったく」
So saying, the stranger backed along with me into the parlour and put me behind him in the corner so that we were both hidden by the open door.	そういうと、その男は僕をひきつれてラウンジまでもどり、僕を隠すように隅の方に立ち２人とも開いたドアの影に隠れるようにした。
I was very uneasy and alarmed,	僕はひどくどきどきして、不安になった。
as you may fancy, and it rather added to my fears to observe that the stranger was certainly frightened himself.	わかるだろう、それにその男も確かにびくびくしているのに気づいて、いっそう不安は増すばかりだった。
He cleared the hilt of his cutlass and loosened the blade in the sheath;	その男は短剣を柄からはずして、さやからいつでも抜けるようにした。
and all the time we were waiting there he kept swallowing as if he felt what we used to call a lump in the throat.	そこで待っているあいだ、まるでのどに何かつっかえでもしているかのように、その男はずっとつばを飲み込んでいた。
