PETER PAN IN KENSINGTON GARDENS 　James Matthew Barrie	ケンジントン公園のピーターパン
But the kite broke to pieces in the air,	でもたこが空中でばらばらになってしまいました。
and he would have drowned in the Serpentine had he not caught hold of two indignant swans and made them carry him to the island.	２羽の白鳥がぷんぷん怒りながらもピーターを捕まえて、島まで連れていってくれなかったなら、ピーターはサーペンタイン池でおぼれてしまったことでしょう。
After this the birds said that they would help him no more in his mad enterprise.	これ以降、鳥たちはピーターの頭のおかしい企みには力を貸すつもりはないよと言い放ちました。
Nevertheless, Peter did reach the Gardens at last by the help of Shelley's boat,	でもピーターは、シェリーのボートの助けをかりてケンジントン公園にたどり着くのでした。
as I am now to tell you.	これからそのてんまつをお話することにしましょう。
The Thrush's Nest	２章 つぐみの巣
Shelley was a young gentleman and as grown-up  as he need ever expect to be.	シェリーは年若き紳士で、もうすっかり大人といってもいいくらいの年でした。
He was a poet;	ただ詩人なので、
and they are never exactly grown-up.	決して本当の大人にはなれませんでした。
They are people who despise money except what you need for to-day,	詩人というものは今日一日、まさに一日必要なだけのお金以外はすっかりバカにしているものです。
and he had all that and five pounds over.	シェリーときたら、一日に必要な分に５ポンドも余していたので、
So, when he was walking in the Kensington Gardens, he made a paper boat of his bank-note, and sent it sailing on the Serpentine.	ケンジントン公園を散歩しているとき、持っている紙幣で紙のボートを作って、サーペンタイン池に浮かべたのでした。
It reached the island at night:	そのボートは、夜に島までやって来ました。
and the look-out brought it to Solomon Caw,	見張りが、それをソロモン・コーに知らせます。
who thought at first that it was the usual thing,	ソロモンは、最初いつものやつだなと思いました。
a message from a lady, saying she would be obliged if he could let her have a good one.	いつものやつというのは、女の人からのよい子供を授けてくれたらとてもうれしいんですが、という手紙のことです。
