What the Moon Saw	絵のない絵本
"I looked down from the silent sky upon the driving clouds,	「流れる雲の上の静かな空から地上を見下ろしていました。
and saw the great shadows chasing each other across the earth.	地上ではいくつもの大きな影が追いかけっこをしていました。
I looked upon a prison.	私はある監獄を見下ろしていました。
A closed carriage stood before it;	屋根のある馬車が監獄の前にとまります。
a prisoner was to be carried away.	一人の囚人が移送されることになっていたのです。
My rays pierced through the grated window towards the wall;	私の光は格子窓を通りぬけ壁まで達しました。
the prisoner was scratching a few lines upon it, as a parting token;	囚人はかけらで壁になにかを書いていました。
but he did not write words,	でも言葉を書いていたのではありません。
but a melody, the outpouring of his heart.	心にあふれてくるメロディーを刻んでいたのです。
The door was opened, and he was led forth, and fixed his eyes upon my round disc.	ドアが開き、囚人はつれていかれ、その目は私の丸い姿にくぎづけでした。
Clouds passed between us, as if he were not to see his face, nor I his.	まるで彼が自分の顔をみれないさだめで、私も彼の顔をみれないさだめでもあるかのように雲が二人のあいだを流れて行きました。
He stepped into the carriage, the door was closed, the whip cracked,	囚人は馬車にのりこみ、そのドアが閉まり、むちの音が鳴り響きました。
and the horses gallopped off into the thick forest,	馬が深い森へと駆け出して行きました。
whither my rays were not able to follow him;	そこには私の光も届きません。
but as I glanced through the grated window, my rays glided over the notes,	でも私は格子窓をとおして、書かれたものを読み取りました。
his last farewell engraved on the prison wall	監獄の壁に書かれた最後のお別れの挨拶を。
- where words fail, sounds can often speak.	言葉では語れず、音楽が雄弁になるときがあるのです。
My rays could only light up isolated notes,	私の光はそのぽつんと書かれたものを照らし出しました。
so the greater part of what was written there will ever remain dark to me.	そこに書かれた大部分は私には暗くてよく見えませんでした。
Was it the death-hymn he wrote there?	囚人がそこに書いたのは死の賛美歌なのでしょうか？
Were these the glad notes of joy?	喜びに満ちた歌なのでしょうか？
Did he drive away to meet death, or hasten to the embraces of his beloved?	馬車でつれていかれ死を迎えるのか、愛するものを抱きしめるために急いでいるのでしょうか？
The rays of the Moon do not read all that is written by mortals."	月光は死の運命をもった人間のかいたものを、すべて読むことができるわけではありません」
THIRTY-SECOND EVENING	第三十二夜
"I love the children,"	「私は子供を愛しています」
said the Moon,	お月さまはそう話しかけました
"especially the quite little ones	「特にちっちゃい子は。
- they are so droll.	おどけたところがあるじゃないですか。
Sometimes I peep into the room, between the curtain and the window frame, when they are not thinking of me.	ときどき子供たちがぜんぜん私のことなんて考えてないときに、私はカーテンや窓枠のあいだから部屋をのぞくのです。
It gives me pleasure to see them dressing and undressing.	着替えているところをみるのは楽しいものです。
First, the little round naked shoulder comes creeping out of the frock, then the arm;	まず子供服をぬぐとまんまるいちっちゃい肩が、そして腕が姿をあらわします。
or I see how the stocking is drawn off, and a plump little white leg makes its appearance, and a white little foot that is fit to be kissed,	あるいは、くつしたをぬいで、ふっくらした小さなまっしろい脚が、そしてキスしたくなるような真っ白な小さな足が姿をあらわすのです。
and I kiss it too.	もちろん私もそれにキスをします」
"But about what I was going to tell you.	「でもお話したいのはこういうことです。
This evening I looked through a window,	今晩、カーテンのかかってないある窓から部屋をのぞいていました。
before which no curtain was drawn, for nobody lives opposite.	向かいの家にだれも住んでいなかったので、カーテンがいらなかったのです。
I saw a whole troop of little ones, all of one family,	わたしはちっちゃい子供の一団を目にしました。
and among them was a little sister.	みんな家族で、そこには小さな女の子がいました。
She is only four years old, but can say her prayers as well as any of the rest.	たった四才ですが、みんなと同じようにお祈りをちゃんとできるのです。
The mother sits by her bed every evening, and hears her say her prayers;	お母さんは毎晩、女の子のベッドのそばにすわりこんで、その子がお祈りするのを聞いてあげるのでした。
and then she has a kiss, and the mother sits by the bed till the little one has gone to sleep,	それから女の子にキスをして、寝るまでずっとそばに座っているのです。
which generally happens as soon as ever she can close her eyes.	女の子はいつも目をとじるとすぐ寝てしまうのですが」
"This evening the two elder children were a little boisterou.s	「今晩、年上の二人がすこしおいたをしました。
One of them hopped about on one leg in his long white nightgown,	一人は長いまっしろな寝巻きをきて、片足でぴょんぴょんはねていました。
and the other stood on a chair surrounded by the clothes of all the children, and declared he was acting Grecian statues.	もう一人は子供服をまわりにちりばめ椅子の上にたって、ギリシャ彫刻みたいだろ、と得意げにいいはなちました。
The third and fourth laid the clean linen carefully in the box,	三番目と四番目の子はきれいな下着を箱の中に注意深くしまいました。
for that is a thing that has to be done;	というのはそれがやらなきゃいけないことだったからです。
and the mother sat by the bed of the youngest, and announced to all the rest that they were to be quiet,	お母さんは一番小さい子のベッドのそばに腰をおろし、全員に静かにするようにといいました。
for little sister was going to say her prayers.	女の子がお祈りをするからです」
"I looked in, over the lamp, into the little maiden's bed,	「私はランプ越しに小さな女の子のベッドをのぞき込みました。
where she lay under the neat white coverlet, her hands folded demurely and her little face quite grave and serious.	こざっぱりした白い上布団にもぐりこみ、両手は上品に組まれていて、女の子の小さな顔は真剣そのものでした。
She was praying the Lord's prayer aloud.	女の子はお祈りを声にだしました。
But her mother interrupted her in the middle of her prayer.	でもお母さんがお祈りの途中でやめさせます。
'How is it,'	『どうしたの』
she asked,	お母さんは聞きました。
'that when you have prayed for daily bread, you always add something I cannot understand?	『日々のパンってところで、いつも聞き取れないけど何かいってるわね。
You must tell me what that is.'	なんて言ってるのかいいなさい』
The little one lay silent, and looked at her mother in embarrassment.	小さい女の子は答えず横になっていて、お母さんの顔をこまったように見ています
'What is it you say after our daily bread?'	『日々のパンのあとになんていってるの？』
'Dear mother, don't be angry:	『おかあさん、怒らないでね。
I only said, and plenty of butter on it.'"	ただ、それにバターもたっぷりって言っただけなの』」
