The Great Gatsby	グレイト・ギャツビー
“How you ever get anything done is beyond me.”	「いったいどういうふうにあれこれやってのけるのか、おれにはさっぱり分からん」
I looked at Miss Baker, wondering what it was she “got done.”	いったい何を「やってのけた」のか不思議に思いながら、ぼくはミス・ベイカーに目を向けた。
I enjoyed looking at her.	彼女を見ているのは気分がよかった。
She was a slender, small-breasted girl, with an erect carriage, which she accentuated by throwing her body backward at the shoulders like a young cadet.	ほっそりとした、胸の小さな女で、そのきりっとした身ごなしが、若い士官学校生みたいに肩をはって胸を反らしているその姿勢により強められていた。
Her gray sun-strained eyes looked back at me with polite reciprocal curiosity out of a wan, charming, discontented face.	灰色の瞳を太陽に細めるみたいにし、その肉の薄い、魅力的な、不満ありげな顔に返礼的な好奇心をこめ、ぼくに向けた。
It occurred to me now that I had seen her,	これはどこかで見たことのある顔だ、とそのとき気づいた。
or a picture of her, somewhere before.	あるいは写真で見たのか、とにかくどこかで以前に見たことがある。
“You live in West Egg,”	「ウエスト・エッグにお住まいなんですってね」
she remarked contemptuously.	と小馬鹿にするような確認。
“I know somebody there.”	「わたし、あそこには知ってるひとがいるの」
“I don’t know a single――――”	「ぼくはまだひとりも――」
“You must know Gatsby.”	「ギャツビーを知らないはずない」
“Gatsby?”	「ギャツビー？」
demanded Daisy.	とデイジーが横から絡んできた。
“What Gatsby?”	「なに、ギャツビー？」
Before I could reply that he was my neighbor dinner was announced;	それはぼくの隣に住んでいるひとだと答えようとしたところで、ディナーの準備ができたという知らせがきた。
wedging his tense arm imperatively under mine, Tom Buchanan compelled me from the room	ぼくの体を抱えこむようにして、トム・ブキャナンはその部屋からぼくを追いたてた。
as though he were moving a checker to another square.	まるでチェッカーの駒を動かしているみたいだ。
Slenderly, languidly, their hands set lightly on their hips, the two young women preceded us out onto a rosy-colored porch, open toward the sunset,	面倒くさそうに両手をそっと腰に当てると、2人の若い女たちはぼくらに先だって夕焼けを望む薔薇色のポーチに出た。
where four candles flickered on the table in the diminished wind.	そこでは、テーブルの上に4本の蝋燭が立てられ、微風に火をちらちらと揺らしていた。
“Why CANDLES?”	「ろぉそくぅ？」
objected Daisy, frowning.	デイジーは眉をしかめた。
She snapped them out with her fingers.	と、指でもみけす。
