PETER PAN [PETER AND WENDY]	ピーターパンとウェンディ
She dreamt that the Neverland had come too near and that a strange boy had broken through from it.	ネバーランドはとても近くにあって、一人の見知らぬ男の子がネバーランドから登場しました。
He did not alarm her,	ママは、男の子にはびっくりしません。
for she thought she had seen him before in the faces of many women who have no children.	なぜなら前にもコドモのない女の人の顔に、その男の子を見たことがある気がしたからでした。
Perhaps he is to be found in the faces of some mothers also.	たぶん、母親になった女の人の顔にだって、その男の子をみつけられるのかもしれませんが。
But in her dream he had rent the film that obscures the Neverland, and she saw Wendy and John and Michael peeping through the gap.	でも夢の中では、男の子はネバーランドをおおい隠していたうすいまくをひきちぎって、ママにはウェンディとジョンとマイケルがその裂け目から、こちらをのぞいているのが見えました。
The dream by itself would have been a trifle,	夢そのものは、ささいなことかもしれません。
but while she was dreaming the window of the nursery blew open, and a boy did drop on the floor.	でも夢を見ている間、コドモ部屋の窓が風で開いて、男の子が床にころげこんできたのでした。
He was accompanied by a strange light, no bigger than your fist, which darted about the room like a living thing	男の子といっしょに不思議な明かりも、こぶしほどのおおきさで、まるで生きてるかのように部屋の中をダーツみたいにまっすぐに飛んでいきました。
and I think it must have been this light that wakened Mrs. Darling.	思うにその明かりで、ママは起きたにちがいありません。
She started up with a cry, and saw the boy, and somehow she knew at once that he was Peter Pan.	ママは悲鳴をあげてとびおきました、そして男の子をみました、で、どうしてかすぐにそれがピーターパンだってことが、わかったのでした。
If you or I or Wendy had been there we should have seen that he was very like Mrs. Darling's kiss.	もしあなたやわたし、あるいはウェンディがそこにいたのなら、男の子がまるでママのキスみたいだなぁ、なんてことに気づいたのにちがいありません。
He was a lovely boy, clad in skeleton leaves and the juices that ooze out of trees but the most entrancing thing about him was that he had all his first teeth.	男の子は愛らしい子で、すじばっかりの葉っぱと木からにじみでた樹液でできた服をきていて、ただ一番うっとりさせるのは、歯がひとつもはえかわってないことでした。
When he saw she was a grown-up, he gnashed the little pearls at her.	男の子はママが大人だとみると、その真珠のような歯で、ママに向かって歯ぎしりしました。
Chapter 2  THE  SHADOW	２章　その影
