The Time Machine	タイムマシン
But the Time Traveller had more than a touch of whim among his elements, and we distrusted him.	でも時間旅行者の性格は、気まぐれぶりが少々などというものではなかったので、みんなかれを信用しなかった。
Things that would have made the frame of a less clever man seemed tricks in his hands.	もっと賢さの劣る人物なら動かぬ証拠に思えることですら、かれの手にかかると小細工に見えた。
It is a mistake to do things too easily.	何かを簡単にやってしまうのはまちがいだ。
The serious people who took him seriously never felt quite sure of his deportment;	かれの言うことを本気にしたまじめな人々は、かれの振る舞いについて決して確信が持てなかった。
they were somehow aware that trusting their reputations for judgment with him was like furnishing a nursery with egg-shell china.	みんな、かれについての評価に自分の評判をかけるのは、育児所に卵の殻のような瀬戸物を置くも同然だということをなぜか知っていた。
So I don't think any of us said very much about time travelling in the interval between that Thursday and the next,	だから、その木曜日と次の木曜日との間で時間旅行についてさほど口にした人間は、ほとんどいなかったと思う。
though its odd potentialities ran, no doubt, in most of our minds:	とはいえ、その奇妙な可能性はまちがいなく、ほとんどみんなの頭の中を駆けめぐっていただろう。
its plausibility, that is, its practical incredibleness, the curious possibilities of anachronism and of utter confusion it suggested.	その実現可能性、その現実的な信じがたさ、それが示唆するアナクロニズムの奇妙な可能性と、完全な混乱。
For my own part, I was particularly preoccupied with the trick of the model.	わたしはと言えば、あの模型のトリックがことさら頭を離れなかった。
That I remember discussing with the Medical Man, whom I met on Friday at the Linnaean.	これについては、リンネ協会で金曜日に出会った医師と議論したのを覚えている。
He said he had seen a similar thing at Tubingen, and laid considerable stress on the blowing out of the candle.	かれは似たようなものをチュービンゲンで見たと語り、ろうそくが吹き消されたことを特に強調していた。
But how the trick was done he could not explain.	が、そのトリックの実際の仕掛けはかれも説明できなかった。
The next Thursday I went again to Richmond	次の木曜日、わたしはまたリッチモンドに出かけた
--I suppose I was one of the Time Traveller's most constant guests	――たぶんわたしは時間旅行者をもっとも頻繁に訪れる客だっただろう
--and, arriving late, found four or five men already assembled in his drawing-room.	――そしてちょっと遅れてついてみると、すでに客間に四、五人が集まっていた。
The Medical Man was standing before the fire with a sheet of paper in one hand and his watch in the other.	医師は片手にかみ切れを、もう片手に時計を握っていた。
