ADVENTURE I. A SCANDAL IN BOHEMIA	ボヘミアンスキャンダル
"Because she has said that she would send it on the day when the betrothal was publicly proclaimed.	「結婚が公に宣言されるその日に送ると言っていたからです。
That will be next Monday."	来週の月曜日です。」
"Oh, then we have three days yet,"	「ああ、ではまだ三日ありますね」
said Holmes with a yawn.	とホームズがあくびをしながら言った。
"That is very fortunate, as I have one or two matters of importance to look into just at present.	「それは幸運です、ちょうど今、僕には重要な調査が一、二件ありますので。
Your Majesty will, of course, stay in London for the present?"	陛下には当然、当面ロンドンにご滞在ですね？」
"Certainly.	「もちろんです。
You will find me at the Langham under the name of the Count Von Kramm."	ランガムにフォン・クラムの名でいますので。」
"Then I shall drop you a line to let you know how we progress."	「では一筆書いて進捗状況はお知らせしましょう。」
"Pray do so.	「どうかそうしてください。
I shall be all anxiety."	心配でたまらないから。」
"Then, as to money?"	「ところで、金の問題は。」
"You have carte blanche."	「白紙委任します。」
"Absolutely?"	「完全に？」
"I tell you that I would give one of the provinces of my kingdom to have that photograph."	「あの写真を手に入れるためなら王国の一地方を差し出しましょうとも。」
"And for present expenses?"	「それで当座の費用は？」
The King took a heavy chamois leather bag from under his cloak and laid it on the table.	王は重いセーム革の袋をマントの下から取り出し、テーブルの上に置いた。
"There are three hundred pounds in gold and seven hundred in notes,"	「金三百ポンドに紙幣で七百ポンドあります」
he said.	と彼は言った。
Holmes scribbled a receipt upon a sheet of his note-book and handed it to him.	ホームズは手帳の一枚に受け取りを殴り書きし、彼に手渡した。
"And Mademoiselle's address?"	「それでマドモワゼルの住所は？」
he asked.	と彼は尋ねた。
"Is Briony Lodge, Serpentine Avenue, St. John's Wood."	「セント・ジョンズ・ウッド、サーペンタイン通り、ブライオニ・ロッジ。」
Holmes took a note of it.	ホームズはそれを書きとめた。
"One other question,"	「もう一問」
said he.	と彼は言った。
"Was the photograph a cabinet?"	「それはキャビネ判の写真ですか？」
"It was."	「そうです。」
"Then, good-night, your Majesty, and I trust that we shall soon have some good news for you.	「では、おやすみなさい、陛下、すぐによい知らせが入ると思います。
And good-night, Watson,"	おやすみ、ワトソン」
he added, as the wheels of the royal brougham rolled down the street.	と彼は、国王のブルームの車輪が街をすべり行くとともに、付け加えた。
"If you will be good enough to call to-morrow afternoon at three o'clock	「明日の午後三時に訪ねてきてくれるとありがたいんだがね。
I should like to chat this little matter over with you."	君とこの小さな問題をおしゃべりしたいんだ。」
At three o'clock precisely I was at Baker Street, but Holmes had not yet returned.	三時きっかりに私はベーカー街に着いたが、ホームズはまだ戻っていなかった。
The landlady informed me that he had left the house shortly after eight o'clock in the morning.	おかみの話では、彼は朝の八時少し過ぎに出たそうだ。
I sat down beside the fire, however, with the intention of awaiting him, however long he might be.	しかし私は彼がどんなに遅くなっても待つつもりで暖炉のそばに腰を下ろした。
I was already deeply interested in his inquiry,	既に私は彼の調査に深い興味を抱いていた。
for, though it was surrounded by none of the grim and strange features which were associated with the two crimes which I have already recorded, still, the nature of the case and the exalted station of his client gave it a character of its own.	そこには、前に私が記録した二つの犯罪を連想させる残酷、不思議な特色はなかったが、それでも、事件の本質や依頼人の高い身分が独自の特徴を与えていたからである。
Indeed, apart from the nature of the investigation which my friend had on hand, there was something in his masterly grasp of a situation, and his keen, incisive reasoning, which made it a pleasure to me to study his system of work, and to follow the quick, subtle methods by which he disentangled the most inextricable mysteries.	実際、友の手がけている事件の性質を別にしても、彼の見事な状況把握力、鋭敏至極な推理には何か魅力があり、私は最も込み入った謎すら解きほぐすその迅速、巧妙な方法をたどり、彼の仕事の組織的方法を研究することが楽しみだった。
