The Bolted Door	『閉ざされたドア』
no head for figures, no dimmest insight into the mysteries of commerce.	数字に暗く、商取引の勘所を押さえるということがまったくできないのだ。
He wanted to travel and write	グラニスは海外へ行きたかったし、執筆がしたかった。
-- those were his inmost longings.	このふたつを心底、願っていた。
And as the years dragged on, and he neared middle-age without making any more money, or acquiring any firmer health, a sick despair possessed him.	だが、不幸な歳月は続き、中年近くになっても、金を儲けることもできなければ、健康状態を完全に回復することもできず、病的なまでの絶望感に打ちひしがれていた。
He tried writing, but he always came home from the office so tired that his brain could not work.	書こうとはしてみたけれど、仕事場から家に帰るころは、疲れ切って頭も働かない。
For half the year he did not reach his dim up-town flat till after dark,	一年の半分は、自宅のあるアップタウンに暗くなるまで帰れずにいた。
and could only "brush up" for dinner, and afterward lie on the lounge with his pipe, while his sister droned through the evening paper.	帰ってからできることといえば、夕食の席に着くための「身繕い」と、そのあとで妹が単調な声で夕刊を読むのを聞きながら、寝椅子に横たわってパイプをふかすことだけ。
Sometimes he spent an evening at the theatre;	夜、劇場に出かけたり、
or he dined out, or, more rarely,	外食したりするのも、ごくごくまれなこと。
strayed off with an acquaintance or two in quest of what is known as "pleasure."	さらにまれなことではあるが、ひとりかふたりの知人と、「快楽の場」として知られているところへ探索に出かけ、さまよい歩くこともないではなかった。
And in summer, when he and Kate went to the sea-side for a month,	ある夏のこと、グラニスとケイトは、一ヶ月間海辺で過ごした。
he dozed through the days in utter weariness.	疲労困憊していたために、何日もうとうとと過ごしていたのだが、
Once he fell in love with a charming girl	ある日、魅力的な娘に恋をした。
-- but what had he to offer her, in God's name?	だが彼女にいったい何を与えることができるというのか。
She seemed to like him, and in common decency he had to drop out of the running.	おそらく娘もグラニスに好意を持っていたのだが、ふたりがともに礼儀正しかったおかげで、駆け落ちすることにもならなかった。
Apparently no one replaced him, for she never married, but grew stoutish, grayish, philanthropic	どうやらグラニスの代わりになる者は現れなかったらしく、その後娘は結婚もせず、太り、白髪交じりになり、慈善事業に精を出すようになる。
-- yet how sweet she had been when he had first kissed her!	だが、彼女に初めてキスしたときの愛らしかったこと。
One more wasted life, he reflected. . .	浪費された人生が、そこにもひとつ、とグラニスは思い起こすのだった……。
<8> But the stage had always been his master-passion.	グラニスがなにより情熱を傾けたのは、舞台だった。
He would have sold his soul for the time and freedom to write plays!	戯曲を書く時間と自由が得られるのなら、魂とて売り渡したことだろう。
It was in him	舞台への情熱は、グラニスとともにあった。
-- he could not remember when it had not been his deepest-seated instinct.	思い出せる限り、いかなるときも本能の深いところを占めていた。
As the years passed it became a morbid, a relentless obsession	時が経つうち、その情熱は病的に、常に取り憑いて離れない妄想になりつつあった。
-- yet with every year the material conditions were more and more against it.	だが年を追って、経済状態はますますそれを許さないものとなっていく。
